date,adr,room_type,num_rooms,location,month
2023-01-01,157,single,3,Copenhagen,1
2023-01-01,474,suite,1,Copenhagen,1
2023-01-01,442,suite,1,New York,1
2023-01-01,141,single,3,Copenhagen,1
2023-01-01,200,single,3,New York,1
2023-01-01,256,double,3,New York,1
2023-01-01,316,double,1,New York,1
2023-01-01,236,double,2,New York,1
2023-01-01,234,double,5,Copenhagen,1
2023-01-01,438,suite,2,Copenhagen,1
2023-01-01,239,suite,3,Copenhagen,1
2023-01-01,234,double,1,New York,1
2023-01-01,154,single,3,New York,1
2023-01-01,209,double,5,New York,1
2023-01-01,286,double,2,New York,1
2023-01-01,115,single,1,Berlin,1
2023-01-01,188,single,4,New York,1
2023-01-01,391,suite,1,Berlin,1
2023-01-01,97,single,2,Copenhagen,1
2023-01-01,117,single,4,Copenhagen,1
2023-01-02,209,single,4,New York,1
2023-01-02,123,single,4,New York,1
2023-01-02,161,double,4,New York,1
2023-01-02,163,double,4,Berlin,1
2023-01-02,180,double,2,Copenhagen,1
2023-01-02,181,single,1,New York,1
2023-01-02,256,suite,2,New York,1
2023-01-02,222,single,1,New York,1
2023-01-02,426,suite,3,New York,1
2023-01-02,209,double,3,New York,1
2023-01-02,365,suite,5,Copenhagen,1
2023-01-02,397,suite,4,New York,1
2023-01-02,135,single,3,New York,1
2023-01-02,148,single,5,Copenhagen,1
2023-01-02,151,single,4,Copenhagen,1
2023-01-02,223,double,1,New York,1
2023-01-02,104,single,5,Copenhagen,1
2023-01-02,354,suite,4,Copenhagen,1
2023-01-02,142,single,3,New York,1
2023-01-02,239,single,5,New York,1
2023-01-03,131,single,3,New York,1
2023-01-03,436,suite,5,Berlin,1
2023-01-03,247,suite,1,New York,1
2023-01-03,404,suite,1,Copenhagen,1
2023-01-03,78,single,4,Berlin,1
2023-01-03,342,suite,4,New York,1
2023-01-03,364,suite,1,Copenhagen,1
2023-01-03,474,suite,3,New York,1
2023-01-03,333,suite,1,Copenhagen,1
2023-01-03,136,single,3,New York,1
2023-01-03,126,single,2,Berlin,1
2023-01-03,408,suite,1,New York,1
2023-01-03,103,single,4,Berlin,1
2023-01-03,178,double,2,New York,1
2023-01-03,175,double,3,New York,1
2023-01-03,245,double,5,New York,1
2023-01-03,235,double,5,Berlin,1
2023-01-03,153,single,3,Copenhagen,1
